Net,From,To,Rule
CART_5V_IN,J1.A2 and J1.A31,F1.1,Join contacts before protection
CART_5V,F1.2,U8-U14 VCCA; regulators; analog stage,Console-only 5V domain
3V3,U15.OUT,FPGA IO; RP2350 IO; SDRAM; microSD; translator B ports,Size and sequence from measured load
FPGA_1V1,U16.OUT,U1 core pins,Follow Cyclone V power sequencing and decoupling guide
FPGA_2V5,U17.OUT,U1 auxiliary/PLL pins,Confirm exact selected FPGA rail requirements
GND,J1 grounds and all device grounds,Ground plane,Keep digital return out of audio filter loop
MD_A1_A23,J1 VA1-VA23,U8-U10 A ports,Translate all address bits to FPGA_MD_A1_A23
FPGA_MD_A1_A23,U8-U10 B ports,U1 address inputs,Apply VCLK and asynchronous bus constraints
MD_D0_D15,J1 VD0-VD15,U11-U12 A ports,Bidirectional 5V console data bus
FPGA_MD_D0_D15,U11-U12 B ports,U1 data bus,OE and DIR generated by safe bus-control logic
MD_CTRL_IN,J1 MRES/CAS0/CE0/AS/CAS2/ASEL/LWR/UWR/TIME,U13-U14 A ports,Translate every active control into FPGA domain
FPGA_CTRL_IN,U13-U14 B ports,U1 control inputs,Unused inputs must not float
DTACK_OD,U1 dtack_oe,U20/Q1 input,Open-drain only to J1.B20; external pull belongs to console
BUS_DISABLE,U21.Y,U8-U14 OE,USB present or FPGA unconfigured forces high impedance
VCLK,J1.B19,U1 clock input,Dedicated clock-capable FPGA pin
SD_SPI,U2 PIO/SPI,J3 CLK/CMD/DAT0,RP2350 owns filesystem in both console and USB modes
SD_AUX,U2 GPIO,J3 DAT1/DAT2/DAT3/CD,Reserve 4-bit upgrade and card detect
SECTOR_QSPI,U2 QSPI service pins,U1 sector-service port,Commands LBA/length; payload up to 2352 bytes
SDRAM,U1 SDRAM controller,U3 address/data/control,Length-match data and byte lanes; terminate per memory model
FPGA_CONFIG,U4,U1 configuration pins,JTAG J4 remains available
MCU_BOOT_QSPI,U5,U2 QSPI pins,Dedicated XIP flash
USB_DP_DM,J2,U19 then U2 USB pins,90 ohm differential pair and CC pull-downs
FPGA_I2S,U1 audio outputs,U6 DIN/BCK/LRCK,PCM and CDDA mixed digitally before DAC
AUDIO_LR,U6 analog outputs,U7 filter/level stage,Measure gain and DC before connection
CART_AUDIO,U7 outputs,J1.B1 SL1 and J1.B3 SR2,AC-coupled output within console input range
BACKUP_FRAM,U1 backup bus,U18,Save writes journaled by controller before USB ownership
CART_N,J1.B32,GND through 0R,Select boot cartridge mode
